product_id,bullet_point,sort_order
UVC-AI-Turret-B/W,vandal-proof 4K PoE+ turret camera with enhanced AI capabilities and IR and visible LEDs for night vision,1
UVC-AI-Turret-B/W,Easy to deploy and manage,2
UVC-AI-Turret-B/W,Reliable performance,3
UVC-AI-Dome-B/W,All-weather,0
UVC-AI-Dome-B/W,vandal-proof 4K PoE dome camera with enhanced AI capabilities and long-range IR night vision,1
UVC-AI-Dome-B/W,Easy to deploy and manage,2
UVC-AI-Dome-B/W,Reliable performance,3
UVC-AI-360-B/W,Indoor/outdoor 2K PoE camera with pan-tilt-zoom functionality that offers full 360° surveillance,0
UVC-AI-360-B/W,Enterprise-grade quality,1
UVC-AI-360-B/W,Easy to deploy and manage,2
UVC-AI-360-B/W,Reliable performance,3
UVC-G5-Dome,Next-gen 2K HD PoE ceiling camera with enhanced dynamic range and low-light performance,0
UVC-G5-Dome,Enterprise-grade quality,1
UVC-G5-Dome,Easy to deploy and manage,2
UVC-G5-Dome,Reliable performance,3
UVC-G5-Dome-Ultra-B/W,Ultra-compact and tamper-resistant 2K HD PoE camera with night vision designed for low-profile indoor security,0
UVC-G5-Dome-Ultra-B/W,Enterprise-grade quality,1
UVC-G5-Dome-Ultra-B/W,Easy to deploy and manage,2
UVC-G5-Dome-Ultra-B/W,Reliable performance,3
UVC-AI-MS-4-B/W,All-weather PoE++ 32MP multi-sensor camera featuring a Multi-TOPS AI engine,0
UVC-AI-MS-4-B/W,33× optical zoom,1
UVC-AI-MS-4-B/W,360° IR coverage,2
UVC-AI-MS-4-B/W,and four independently adjustable lenses for seamless wide-area and close-up monitoring,3
UVC-G6-Pro-Bullet-B/W,All-weather 4K PoE+ camera with a Multi-TOPS AI engine,0
UVC-G6-Pro-Bullet-B/W,36x optical zoom,1
UVC-G6-Pro-Bullet-B/W,and a large 1/1,2
UVC-G6-Pro-Bullet-B/W,2' CMOS sensor for exceptional low-light clarity and long-range IR night vision,3
UVC-G6-Bullet-B/W,All-weather 4K PoE camera with a 1/1,0
UVC-G6-Bullet-B/W,8' 8MP image sensor,1
UVC-G6-Bullet-B/W,Multi-TOPS AI Engine,2
UVC-G6-Bullet-B/W,and long-range IR night vision,3
UVC-AI-LPR-B/W,Specialized 4K camera with 3x optical zoom and long-range IR night vision optimized for recognizing license plates on vehicles moving up to 90 km/h,0
UVC-AI-LPR-B/W,Enterprise-grade quality,1
UVC-AI-LPR-B/W,Easy to deploy and manage,2
UVC-AI-LPR-B/W,Reliable performance,3
UVC-AI-DSLR-B/W,Indoor/outdoor 4K PoE camera with exceptional image quality and impressive low-light performance,0
UVC-AI-DSLR-B/W,Enterprise-grade quality,1
UVC-AI-DSLR-B/W,Easy to deploy and manage,2
UVC-AI-DSLR-B/W,Reliable performance,3
UVC-AI-Pro-B/W,Indoor/outdoor 4K PoE camera with 3x optical zoom,0
UVC-AI-Pro-B/W,long-range IR night vision,1
UVC-AI-Pro-B/W,and enhanced AI detection capabilities,2
UVC-AI-Pro-B/W,Reliable performance,3
UVC-G5-Pro,Next-gen indoor/outdoor 4K PoE camera with exceptional image performance,0
UVC-G5-Pro,long-range IR night vision,1
UVC-G5-Pro,and 3x optical zoom,2
UVC-G5-Pro,Reliable performance,3
UVC-G5-Bullet,Next-gen indoor/outdoor 2K HD PoE Camera,0
UVC-G5-Bullet,Enterprise-grade quality,1
UVC-G5-Bullet,Easy to deploy and manage,2
UVC-G5-Bullet,Reliable performance,3
UVC-G6-INS-W,Plug-and-play,0
UVC-G6-INS-W,4K WiFi-connected camera with a 1/1,1
UVC-G6-INS-W,8' 8MP image sensor,2
UVC-G6-INS-W,Multi-TOPS AI Engine,3
UVC-AI-Theta-Pro-W,A complete ceiling 360° AI Theta system designed to discreetly provide a panoramic view of large,0
UVC-AI-Theta-Pro-W,busy spaces,1
UVC-AI-Theta-Pro-W,Easy to deploy and manage,2
UVC-AI-Theta-Pro-W,Reliable performance,3
UVC-G5-Flex,easy-to-deploy 2K HD PoE camera that can be staged indoors or outside,0
UVC-G5-Flex,Enterprise-grade quality,1
UVC-G5-Flex,Easy to deploy and manage,2
UVC-G5-Flex,Reliable performance,3
UVC-G4-INS,WiFi-connected camera with two-way audio,0
UVC-G4-INS,Enterprise-grade quality,1
UVC-G4-INS,Easy to deploy and manage,2
UVC-G4-INS,Reliable performance,3
UVC-AI-Theta-Audio,Two-way audio module that connects to an AI Theta Hub,0
UVC-AI-Theta-Audio,Enterprise-grade quality,1
UVC-AI-Theta-Audio,Easy to deploy and manage,2
UVC-AI-Theta-Audio,Reliable performance,3
UVC-AI-Theta-ProLens50,Long-distance lens with enhanced low-light performance and dynamic range that connects to an AI Theta Hub,0
UVC-AI-Theta-ProLens50,Enterprise-grade quality,1
UVC-AI-Theta-ProLens50,Easy to deploy and manage,2
UVC-AI-Theta-ProLens50,Reliable performance,3
UVC-G6-PTZ-B/W,All-weather,0
UVC-G6-PTZ-B/W,4K dual-lens camera with 10x hybrid zoom,1
UVC-G6-PTZ-B/W,8' 8MP image sensor,2
UVC-G6-PTZ-B/W,Multi-TOPS AI Engine,3
UVC-AI-PTZ-B/W,Industrial-grade 4K PoE++ PTZ camera with enhanced AI capabilities,0
UVC-AI-PTZ-B/W,22x optical zoom,1
UVC-AI-PTZ-B/W,and long-range adaptive IR LED night vision,2
UVC-AI-PTZ-B/W,Reliable performance,3
UVC-AI-PTZ-Precision-B/W,Industrial-grade 4K PTZ camera with enhanced AI capabilities,0
UVC-AI-PTZ-Precision-B/W,31× optical zoom,1
UVC-AI-PTZ-Precision-B/W,adaptive IR LED night vision,2
UVC-AI-PTZ-Precision-B/W,and LiDAR technology for faster autofocus,3
UVC-G5-PTZ-B/W,all-weather camera with ultra-low latency pan-tilt-zoom control and versatile mounting options,0
UVC-G5-PTZ-B/W,Enterprise-grade quality,1
UVC-G5-PTZ-B/W,Easy to deploy and manage,2
UVC-G5-PTZ-B/W,Reliable performance,3
UVC-4-Doorbell-Pro-PoE-Kit-B/W,Premium UniFi doorbell with integrated PoE and included PoE chime for plug-and-play installation,0
UVC-4-Doorbell-Pro-PoE-Kit-B/W,Enterprise-grade quality,1
UVC-4-Doorbell-Pro-PoE-Kit-B/W,Easy to deploy and manage,2
UVC-4-Doorbell-Pro-PoE-Kit-B/W,Reliable performance,3
UVC-4-Doorbell-Pro-B/W,Premium UniFi doorbell with an enhanced package detection camera and integrated display,0
UVC-4-Doorbell-Pro-B/W,Enterprise-grade quality,1
UVC-4-Doorbell-Pro-B/W,Easy to deploy and manage,2
UVC-4-Doorbell-Pro-B/W,Reliable performance,3
UVC-Doorbell-B/W,Compact PoE video doorbell with two-way audio and versatile mounting options,0
UVC-Doorbell-B/W,Enterprise-grade quality,1
UVC-Doorbell-B/W,Easy to deploy and manage,2
UVC-Doorbell-B/W,Reliable performance,3
UVC-Chime-PoE,PoE plug-and-play notification device,0
UVC-Chime-PoE,designed to pair with a UniFi doorbell or door access hub,1
UVC-Chime-PoE,Easy to deploy and manage,2
UVC-Chime-PoE,Reliable performance,3
UVC-Chime,Plug-in chime designed to pair with a UniFi doorbell,0
UVC-Chime,Enterprise-grade quality,1
UVC-Chime,Easy to deploy and manage,2
UVC-Chime,Reliable performance,3
USL-Gateway,Proprietary super long-range,0
USL-Gateway,low-latency wireless gateway for UniFi Protect Sensors,1
USL-Gateway,Easy to deploy and manage,2
USL-Gateway,Reliable performance,3
USL-Entry,High-performance networking solution,0
USL-Entry,Enterprise-grade reliability,1
USL-Entry,Easy management and monitoring,2
USL-Entry,Scalable architecture,3
USL-Motion,SuperLink motion sensor designed for versatile installation,0
USL-Motion,delivering up to 6 years of battery life,1
USL-Motion,Easy to deploy and manage,2
USL-Motion,Reliable performance,3
USL-Siren,All-weather SuperLink siren delivering 110 dB alarm and emergency LED lighting powered using battery or DC input,0
USL-Siren,Enterprise-grade quality,1
USL-Siren,Easy to deploy and manage,2
USL-Siren,Reliable performance,3
USL-Siren-PoE,All-weather siren delivering 110 dB alarm and emergency LED lighting powered using PoE input,0
USL-Siren-PoE,Enterprise-grade quality,1
USL-Siren-PoE,Easy to deploy and manage,2
USL-Siren-PoE,Reliable performance,3
USL-Environmental,Battery-powered SuperLink sensor that detects water leaks,0
USL-Environmental,temperature,1
USL-Environmental,and ambient light,2
USL-Environmental,Reliable performance,3
UP-Sense,A battery-powered smart sensor capable of detecting motion,0
UP-Sense,and environmental changes,1
UP-Sense,Easy to deploy and manage,2
UP-Sense,Reliable performance,3
USL-GlassBreak,Battery-powered SuperLink sensor featuring advanced glass break detection and motion sensing,0
USL-GlassBreak,Enterprise-grade quality,1
USL-GlassBreak,Easy to deploy and manage,2
USL-GlassBreak,Reliable performance,3
UACC-USL-ANT-HG,omnidirectional antenna with an IP67-rated outdoor enclosure,0
UACC-USL-ANT-HG,built to extend SuperLink range in all weather conditions,1
UACC-USL-ANT-HG,Easy to deploy and manage,2
UACC-USL-ANT-HG,Reliable performance,3
UP-AI-Horn-Speaker-B/W,All-weather PoE 120 dB horn speaker with advanced AI alert functionality and versatile wall,0
UP-AI-Horn-Speaker-B/W,and pole mounting options,1
UP-AI-Horn-Speaker-B/W,Easy to deploy and manage,2
UP-AI-Horn-Speaker-B/W,Reliable performance,3
UP-FloodLight,motion-triggered light,0
UP-FloodLight,Enterprise-grade quality,1
UP-FloodLight,Easy to deploy and manage,2
UP-FloodLight,Reliable performance,3
UACC-Adapter-PoE-USBC,Versatile adapter that provides power and connectivity to USB-C devices,0
UACC-Adapter-PoE-USBC,including compatible Protect WiFi cameras,1
UACC-Adapter-PoE-USBC,Easy to deploy and manage,2
UACC-Adapter-PoE-USBC,Reliable performance,3
UACC-Camera-CJB-B/W,Tamper-resistant junction box for compact UniFi Dome and Turret cameras that enhances mounting durability,0
UACC-Camera-CJB-B/W,and ease of maintenance,1
UACC-Camera-CJB-B/W,Easy to deploy and manage,2
UACC-Camera-CJB-B/W,Reliable performance,3
UACC-Camera-CJB-B/W,Tamper-resistant junction box for compact UniFi Dome and Turret cameras that enhances mounting durability,0
UACC-Camera-CJB-B/W,and ease of maintenance,1
UACC-Camera-CJB-B/W,Easy to deploy and manage,2
UACC-Camera-CJB-B/W,Reliable performance,3
UACC-Camera-JB-B/W,Tamper-resistant junction box for UniFi Bullet,0
UACC-Camera-JB-B/W,and Turret cameras that enhances mounting durability,1
UACC-Camera-JB-B/W,and ease of maintenance,2
UACC-Camera-JB-B/W,Reliable performance,3
UACC-AI-JB-B/W,Tamper-resistant junction box for the AI 360 that enhances mounting durability and ease of maintenance,0
UACC-AI-JB-B/W,Enterprise-grade quality,1
UACC-AI-JB-B/W,Easy to deploy and manage,2
UACC-AI-JB-B/W,Reliable performance,3
UACC-G4-Dome-Arm-Mount,Arm mount accessory that attaches the G4 or G5 Dome camera to a wall,0
UACC-G4-Dome-Arm-Mount,Enterprise-grade quality,1
UACC-G4-Dome-Arm-Mount,Easy to deploy and manage,2
UACC-G4-Dome-Arm-Mount,Reliable performance,3
UACC-Camera-AM-B,Arm mount accessory that attaches the UniFi Turret cameras to a wall,0
UACC-Camera-AM-B,Enterprise-grade quality,1
UACC-Camera-AM-B,Easy to deploy and manage,2
UACC-Camera-AM-B,Reliable performance,3
UACC-Bullet-AB-B,Bullet camera mounting accessory that enhances tilt angle by 22° to achieve an unrestricted viewing angle,0
UACC-Bullet-AB-B,Enterprise-grade quality,1
UACC-Bullet-AB-B,Easy to deploy and manage,2
UACC-Bullet-AB-B,Reliable performance,3
UACC-Pro-Bullet-Enhancer-B/W,Long-range IR LED,0
UACC-Pro-Bullet-Enhancer-B/W,and radar detection accessory for the G6 Pro Bullet and AI Pro,1
UACC-Pro-Bullet-Enhancer-B/W,Easy to deploy and manage,2
UACC-Pro-Bullet-Enhancer-B/W,Reliable performance,3
UACC-AI-Pro-Enhancer-B/W,Long-range IR LED,0
UACC-AI-Pro-Enhancer-B/W,and radar detection accessory for the AI Pro,1
UACC-AI-Pro-Enhancer-B/W,Easy to deploy and manage,2
UACC-AI-Pro-Enhancer-B/W,Reliable performance,3
UACC-G5-Enhancer,Long-range IR LED and floodlight accessory for the G5 Pro,0
UACC-G5-Enhancer,Enterprise-grade quality,1
UACC-G5-Enhancer,Easy to deploy and manage,2
UACC-G5-Enhancer,Reliable performance,3
UVC-G4-IRExtender,Long-range IR LED accessory for the G4 Bullet,0
UVC-G4-IRExtender,Enterprise-grade quality,1
UVC-G4-IRExtender,Easy to deploy and manage,2
UVC-G4-IRExtender,Reliable performance,3
UACC-Camera-DM-B/W,Tamper-resistant,0
UACC-Camera-DM-B/W,back-to-back mount for two UniFi Bullet,1
UACC-Camera-DM-B/W,or Turret cameras that supports flat surface installation and attachment to 1 1/2' NPS threaded conduit,2
UACC-Camera-DM-B/W,Reliable performance,3
UACC-GB-Plate-B/W,A mounting plate designed to interface UniFi Protect cameras with multiple types of Gang Boxes and Junction Boxes,0
UACC-GB-Plate-B/W,Enterprise-grade quality,1
UACC-GB-Plate-B/W,Easy to deploy and manage,2
UACC-GB-Plate-B/W,Reliable performance,3
UACC-Dome-FM-B/W,Dome camera mounting accessory for recessed installation into a wall or ceiling,0
UACC-Dome-FM-B/W,Enterprise-grade quality,1
UACC-Dome-FM-B/W,Easy to deploy and manage,2
UACC-Dome-FM-B/W,Reliable performance,3
UACC-G6-Pro-360-FM-B/W,G6 Pro 360 camera mounting accessory for recessed installation into a wall or ceiling,0
UACC-G6-Pro-360-FM-B/W,Enterprise-grade quality,1
UACC-G6-Pro-360-FM-B/W,Easy to deploy and manage,2
UACC-G6-Pro-360-FM-B/W,Reliable performance,3
UACC-G6-Dome-FM-B/W,G6/G6 Pro Dome camera mounting accessory for recessed installation into a wall or ceiling,0
UACC-G6-Dome-FM-B/W,Enterprise-grade quality,1
UACC-G6-Dome-FM-B/W,Easy to deploy and manage,2
UACC-G6-Dome-FM-B/W,Reliable performance,3
UACC-G6-Dome-FMS-B/W,G6 Dome camera mounting accessory for recessed installation into a wall or ceiling,0
UACC-G6-Dome-FMS-B/W,Enterprise-grade quality,1
UACC-G6-Dome-FMS-B/W,Easy to deploy and manage,2
UACC-G6-Dome-FMS-B/W,Reliable performance,3
UACC-G5-Dome-Ultra-FM-B/W,Dome camera mounting accessory for recessed installation into a wall or ceiling,0
UACC-G5-Dome-Ultra-FM-B/W,Enterprise-grade quality,1
UACC-G5-Dome-Ultra-FM-B/W,Easy to deploy and manage,2
UACC-G5-Dome-Ultra-FM-B/W,Reliable performance,3
UACC-G5-Dome-Ultra-FM-SB-B/W,Dome camera mounting accessory for recessed installation into a wall or ceiling with a smoked bubble for enhanced discretion,0
UACC-G5-Dome-Ultra-FM-SB-B/W,Enterprise-grade quality,1
UACC-G5-Dome-Ultra-FM-SB-B/W,Easy to deploy and manage,2
UACC-G5-Dome-Ultra-FM-SB-B/W,Reliable performance,3
UACC-G6-Dome-WS-B/W,G6 Dome camera accessory for optimal image quality and protection from the elements when installed outdoors on a wall or pole,0
UACC-G6-Dome-WS-B/W,Enterprise-grade quality,1
UACC-G6-Dome-WS-B/W,Easy to deploy and manage,2
UACC-G6-Dome-WS-B/W,Reliable performance,3
UACC-Dome-WS-B/W,Dome camera accessory for optimal image quality and protection from the elements when installed outdoors on a wall or pole,0
UACC-Dome-WS-B/W,Enterprise-grade quality,1
UACC-Dome-WS-B/W,Easy to deploy and manage,2
UACC-Dome-WS-B/W,Reliable performance,3
UACC-G6-180-FM-B/W,G6 180 camera mounting accessory for recessed ceiling installation,0
UACC-G6-180-FM-B/W,Enterprise-grade quality,1
UACC-G6-180-FM-B/W,Easy to deploy and manage,2
UACC-G6-180-FM-B/W,Reliable performance,3
UACC-G6-180-PM-B/W,Pendant mount for suspending the G6 180 Camera from ceilings or overhead structures,0
UACC-G6-180-PM-B/W,Enterprise-grade quality,1
UACC-G6-180-PM-B/W,Easy to deploy and manage,2
UACC-G6-180-PM-B/W,Reliable performance,3
UACC-G5-PTZ-CM-B/W,Corner mount accessory for G6/G5 PTZ,0
UACC-G5-PTZ-CM-B/W,Enterprise-grade quality,1
UACC-G5-PTZ-CM-B/W,Easy to deploy and manage,2
UACC-G5-PTZ-CM-B/W,Reliable performance,3
UACC-G5-PTZ-PM-B/W,Pendant mount accessory for G6/G5 PTZ,0
UACC-G5-PTZ-PM-B/W,Enterprise-grade quality,1
UACC-G5-PTZ-PM-B/W,Easy to deploy and manage,2
UACC-G5-PTZ-PM-B/W,Reliable performance,3
UACC-G5-PTZ-SM-B/W,Ceiling surface mount accessory for G5 PTZ,0
UACC-G5-PTZ-SM-B/W,Enterprise-grade quality,1
UACC-G5-PTZ-SM-B/W,Easy to deploy and manage,2
UACC-G5-PTZ-SM-B/W,Reliable performance,3
UACC-G5-PTZ-ICM-SB-B/W,In-ceiling mount accessory or smoked bubble cover for G5 PTZ,0
UACC-G5-PTZ-ICM-SB-B/W,Enterprise-grade quality,1
UACC-G5-PTZ-ICM-SB-B/W,Easy to deploy and manage,2
UACC-G5-PTZ-ICM-SB-B/W,Reliable performance,3
UACC-G6-PTZ-ICM-B/W,In-ceiling mount accessory for G6 PTZ,0
UACC-G6-PTZ-ICM-B/W,Enterprise-grade quality,1
UACC-G6-PTZ-ICM-B/W,Easy to deploy and manage,2
UACC-G6-PTZ-ICM-B/W,Reliable performance,3
UACC-G5-PTZ-CA-B/W,3/4' conduit adapter for wall-mounted G6/G5 PTZ installations,0
UACC-G5-PTZ-CA-B/W,Enterprise-grade quality,1
UACC-G5-PTZ-CA-B/W,Easy to deploy and manage,2
UACC-G5-PTZ-CA-B/W,Reliable performance,3
UACC-Flex-Cam-PWM-B/W,Versatile weatherproof wall or pole mount for G3 and G5 Flex cameras,0
UACC-Flex-Cam-PWM-B/W,Enterprise-grade quality,1
UACC-Flex-Cam-PWM-B/W,Easy to deploy and manage,2
UACC-Flex-Cam-PWM-B/W,Reliable performance,3
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,flat or angled mounting plate for installing the G4 Doorbell Pro PoE over a standard single-gang box,0
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,Enterprise-grade quality,1
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,Easy to deploy and manage,2
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,Reliable performance,3
UACC-G4-DBP-Cable-USB-7M,Sever-meter USB cable that connects a G4 Doorbell Pro to a PoE source,0
UACC-G4-DBP-Cable-USB-7M,Enterprise-grade quality,1
UACC-G4-DBP-Cable-USB-7M,Easy to deploy and manage,2
UACC-G4-DBP-Cable-USB-7M,Reliable performance,3
UACC-G4-INS-Cable-USB-4.5M,Four-and-a-half-meter USB cable that connects a Camera G4/G6 Instant to a PoE source,0
UACC-G4-INS-Cable-USB-4.5M,Enterprise-grade quality,1
UACC-G4-INS-Cable-USB-4.5M,Easy to deploy and manage,2
UACC-G4-INS-Cable-USB-4.5M,Reliable performance,3
UACC-G4-INS-Cover-DG/G/LG,Custom cover for the G4 Instant camera available in multiple colors,0
UACC-G4-INS-Cover-DG/G/LG,Enterprise-grade quality,1
UACC-G4-INS-Cover-DG/G/LG,Easy to deploy and manage,2
UACC-G4-INS-Cover-DG/G/LG,Reliable performance,3
UACC-AI-Theta-Audio-Cable-1M,Replacement cable that connects AI Theta Audio to an AI Theta Hub,0
UACC-AI-Theta-Audio-Cable-1M,Enterprise-grade quality,1
UACC-AI-Theta-Audio-Cable-1M,Easy to deploy and manage,2
UACC-AI-Theta-Audio-Cable-1M,Reliable performance,3
UACC-AI-Theta-Audio-Cable-Ext-10M,Ten-meter audio cable to extend AI Theta Lenses,0
UACC-AI-Theta-Audio-Cable-Ext-10M,Enterprise-grade quality,1
UACC-AI-Theta-Audio-Cable-Ext-10M,Easy to deploy and manage,2
UACC-AI-Theta-Audio-Cable-Ext-10M,Reliable performance,3
efg,25F cloud gateways with 500+ UniFi Device,0
efg,5000+ client support,1
efg,12.5gbps ips routing,2
efg,complete high availability,3
udm-pro-max,10G cloud gateway with 200+ UniFi Device,0
udm-pro-max,2000+ client support,1
udm-pro-max,5 Gbps IPS routing,2
udm-pro-max,Redundant NVR storage,3
udm-pro,10G Cloud Gateway with 100+ UniFi device,0
udm-pro,"1,000+ client support",1
udm-pro,3.5 Gbps IPS routing,2
udm-pro,Professional networking solution,3
udm-se,25F cloud gateways with 500+ UniFi Device,0
udm-se,5000+ client support,1
udm-se,12.5gbps ips routing,2
udm-se,complete high availability,3
ucg-fiber,Desktop 10G Cloud Gateway with integrated 4-port 2,0
ucg-fiber,5 GbE switch,1
ucg-fiber,selectable NVR storage,2
ucg-fiber,and full UniFi application support,3
ucg-max,5G Cloud Gateway with 30+ UniFi device / 300+ client support,0
ucg-max,3 Gbps IPS routing,1
ucg-max,and selectable NVR storage,2
ucg-max,Reliable performance,3
ucg-ultra,Compact CLoud Gateway with 30+ UniFi device / 300+ client support,0
ucg-ultra,1 Gbps IPS routing,1
ucg-ultra,and multi-WAN load balancing,2
ucg-ultra,Reliable performance,3
udr-7,Desktop 10G Cloud Gateway with integrated WiFi 7,0
udr-7,microSD storage,1
udr-7,and full UniFi application support,2
udr-7,Reliable performance,3
ux-7,High-performance networking solution,0
ux-7,Enterprise-grade reliability,1
ux-7,Easy management and monitoring,2
ux-7,Scalable architecture,3
udr-5g-max,Desktop Cloud Gateway with full-performance 5G up to 3,0
udr-5g-max,5 GbE switch with (1) PoE port,1
udr-5g-max,and SD card storage,2
udr-5g-max,Reliable performance,3
UDW,Wall-mounted 10G Cloud Gateway with integrated WiFi 6,0
UDW,high-power PoE switching,1
UDW,and full Unifi application support,2
UDW,Reliable performance,3
UVC-G6-Pro-Entry,An intelligent door entry system with native UniFi Protect and UniFi Access integration with a 12MP camera,0
UVC-G6-Pro-Entry,two-way audio,1
UVC-G6-Pro-Entry,and a 3' touch display,2
UVC-G6-Pro-Entry,Reliable performance,3
UVC-G6-Entry,High-performance networking solution,0
UVC-G6-Entry,Enterprise-grade reliability,1
UVC-G6-Entry,Easy management and monitoring,2
UVC-G6-Entry,Scalable architecture,3
UA-G3-Pro-B/W,Third-generation,0
UA-G3-Pro-B/W,indoor/outdoor NFC reader and intercom with Touch Pass support,1
UA-G3-Pro-B/W,Easy to deploy and manage,2
UA-G3-Pro-B/W,Reliable performance,3
UA-G2-Pro-B/W,Second generation,0
UA-G2-Pro-B/W,indoor/outdoor NFC reader and intercom,1
UA-G2-Pro-B/W,Easy to deploy and manage,2
UA-G2-Pro-B/W,Reliable performance,3
UA-G3-Flex-B/W,Third-generation NFC card reader with a keypad and Touch Pass support,0
UA-G3-Flex-B/W,Enterprise-grade quality,1
UA-G3-Flex-B/W,Easy to deploy and manage,2
UA-G3-Flex-B/W,Reliable performance,3
UA-G3-B/W,Compact third-generation access with Tpuch Pass support,0
UA-G3-B/W,Enterprise-grade quality,1
UA-G3-B/W,Easy to deploy and manage,2
UA-G3-B/W,Reliable performance,3
UA-G2-B/W,Compact second-generation access reader,0
UA-G2-B/W,Enterprise-grade quality,1
UA-G2-B/W,Easy to deploy and manage,2
UA-G2-B/W,Reliable performance,3
UA-Retrofit-Reader-B/W,Indoor/outdoor OSDP reader with NFC Card and Touch Pass support,0
