id,name,category,subfilter,image,short_description,is_new,sku
UP-Viewport,Protect Viewport,Camera Security,NVRs and Edge Devices,/images/camera.jpg,Easy-to-use hub for viewing Protect camera feeds on an HDMI display.,0,UP-VIEWPORT
UCK-G2-SSD,CloudKey+,Camera Security,NVRs and Edge Devices,/images/camera.jpg,"Compact UniFi Console that connects directly to the Site Manager at unifi.ui.com for powerful, multi-application site management.",0,UCK-G2-SSD
UVC-G6-Pro-Turret,G6 Pro Turret,Camera Security,Dome & Turret,/images/camera.jpg,"All-weather tamper-resistant 4K PoE+ camera with a Multi-TOPS AI engine, 2.36x optizal zoom, and a large 1/1.2' CMOS sensor for exceptional low-light clarity and long-range IR night vision.",0,UVC-G6-PRO-TURRET
UVC-G6-Pro-Dome,G6 Pro DOme,Camera Security,Dome & Turret,/images/camera.jpg,"All-weather vandal-proof 4K PoE+ camera with a Multi-TOPS AI engine, 2.36x optical zoom, and a large 1/1.2' CMOS sensor for exceptional low-light clarity and long-range IR night vision.",0,UVC-G6-PRO-DOME
UVC-G6-Turret,G6 Turret,Camera Security,Dome & Turret,/images/camera.jpg,"All-weather, tamper-resistant 4K PoE camera with a 1/1.8' 8MP image sensor, Multi-TOPS AI Engine, and 3-axis manual adjustment for flexible installation.",0,UVC-G6-TURRET
UVC-G6-Dome,G6 Dome,Camera Security,Dome & Turret,/images/camera.jpg,"All-weather, vandal-proof 4K PoE camera with a 1/1.8' 8MP image sensor, Multi-TOPS AI Engine, and long-range IR night vision ideal for discreet installations in high-traffic areas.",0,UVC-G6-DOME
UVC-G6-Pro-360-  ,G6 Pro 360,Camera Security,Dome & Turret,/images/camera.jpg,"All-weather, vandal-resistant 12MP PoE camera with panoramic 360° coverage, digital pan-tilt-zoom functionality, and smart IR functionality.",0,UVC-G6-PRO-360-B-W
UVC-G6-180-B/W,G6 180,Camera Security,Dome & Turret,/images/camera.jpg,"Indoor/outdoor dual sensor 16MP 20 FPS PoE+ camera, with a Multi-TOPS AI Engine and panoramic 180° coverage.",0,UVC-G6-180-B-W
UVC-G5-Turret-Ultra-B/W,G5 Turret Ultra,Camera Security,Dome & Turret,/images/camera.jpg,"Ultra-compact, tamper-resistant, and weatherproof 2K HD PoE camera with long-range night vision.",0,UVC-G5-TURRET-ULTRA-B-W
UVC-AI-Turret-B/W,AI Turret,Camera Security,Dome & Turret,/images/camera.jpg,"All-weather, vandal-proof 4K PoE+ turret camera with enhanced AI capabilities and IR and visible LEDs for night vision.",0,UVC-AI-TURRET-B-W
UVC-AI-Dome-B/W,AI Dome,Camera Security,Dome & Turret,/images/camera.jpg,"All-weather, vandal-proof 4K PoE dome camera with enhanced AI capabilities and long-range IR night vision.",0,UVC-AI-DOME-B-W
UVC-AI-360-B/W,AI 360,Camera Security,Dome & Turret,/images/camera.jpg,Indoor/outdoor 2K PoE camera with pan-tilt-zoom functionality that offers full 360° surveillance.,0,UVC-AI-360-B-W
UVC-G5-Dome,G5 Dome,Camera Security,Dome & Turret,/images/camera.jpg,Next-gen 2K HD PoE ceiling camera with enhanced dynamic range and low-light performance.,0,UVC-G5-DOME
UVC-G5-Dome-Ultra-B/W,G5 Dome Ultra,Camera Security,Dome & Turret,/images/camera.jpg,Ultra-compact and tamper-resistant 2K HD PoE camera with night vision designed for low-profile indoor security.,0,UVC-G5-DOME-ULTRA-B-W
UVC-AI-MS-4-B/W,AI Multi Sensor 4,Camera Security,Dome & Turret,/images/camera.jpg,"All-weather PoE++ 32MP multi-sensor camera featuring a Multi-TOPS AI engine, 2.33× optical zoom, 360° IR coverage, and four independently adjustable lenses for seamless wide-area and close-up monitoring.",0,UVC-AI-MS-4-B-W
UVC-G6-Pro-Bullet-B/W,G6 Pro Bullet,Camera Security,Bullet,/images/camera.jpg,"All-weather 4K PoE+ camera with a Multi-TOPS AI engine, 2.36x optical zoom, and a large 1/1.2' CMOS sensor for exceptional low-light clarity and long-range IR night vision.",0,UVC-G6-PRO-BULLET-B-W
UVC-G6-Bullet-B/W,G6 Bullet,Camera Security,Bullet,/images/camera.jpg,"All-weather 4K PoE camera with a 1/1.8' 8MP image sensor, Multi-TOPS AI Engine, and long-range IR night vision.",0,UVC-G6-BULLET-B-W
UVC-AI-LPR-B/W,AI LPR,Camera Security,Bullet,/images/camera.jpg,Specialized 4K camera with 3x optical zoom and long-range IR night vision optimized for recognizing license plates on vehicles moving up to 90 km/h.,0,UVC-AI-LPR-B-W
UVC-AI-DSLR-B/W,AI DSLR,Camera Security,Bullet,/images/camera.jpg,Indoor/outdoor 4K PoE camera with exceptional image quality and impressive low-light performance.,0,UVC-AI-DSLR-B-W
UVC-AI-Pro-B/W,AI Pro,Camera Security,Bullet,/images/camera.jpg,"Indoor/outdoor 4K PoE camera with 3x optical zoom, long-range IR night vision, and enhanced AI detection capabilities.",0,UVC-AI-PRO-B-W
UVC-G5-Pro,G5 Pro,Camera Security,Bullet,/images/camera.jpg,"Next-gen indoor/outdoor 4K PoE camera with exceptional image performance, long-range IR night vision, and 3x optical zoom.",0,UVC-G5-PRO
UVC-G5-Bullet,G5 Bullet,Camera Security,Bullet,/images/camera.jpg,Next-gen indoor/outdoor 2K HD PoE Camera.,0,UVC-G5-BULLET
UVC-G6-INS-W,G6 Instant,Camera Security,Compact,/images/camera.jpg,"Plug-and-play, 4K WiFi-connected camera with a 1/1.8' 8MP image sensor, Multi-TOPS AI Engine, and two-way audio.",0,UVC-G6-INS-W
UVC-AI-Theta-Pro-W,Camera AI Theta Pro,Camera Security,Compact,/images/camera.jpg,"A complete ceiling 360° AI Theta system designed to discreetly provide a panoramic view of large, busy spaces.",0,UVC-AI-THETA-PRO-W
UVC-G5-Flex,G5 Flex,Camera Security,Compact,/images/camera.jpg,"Compact, easy-to-deploy 2K HD PoE camera that can be staged indoors or outside.",0,UVC-G5-FLEX
UVC-G4-INS,G4 Instant,Camera Security,Compact,/images/camera.jpg,"Compact, wide-angle, WiFi-connected camera with two-way audio.",0,UVC-G4-INS
UVC-AI-Theta-Audio,AI Theta Audio,Camera Security,Compact,/images/camera.jpg,Two-way audio module that connects to an AI Theta Hub.,0,UVC-AI-THETA-AUDIO
UVC-AI-Theta-ProLens50,AI Theta Pro Long-Distance Lens,Camera Security,Compact,/images/camera.jpg,Long-distance lens with enhanced low-light performance and dynamic range that connects to an AI Theta Hub.,0,UVC-AI-THETA-PROLENS50
UVC-G6-PTZ-B/W,G6 PTZ,Camera Security,PTZ,/images/camera.jpg,"All-weather, 4K dual-lens camera with 10x hybrid zoom, 1/1.8' 8MP image sensor, Multi-TOPS AI Engine, and ultra-low latency pan-tilt-zoom control for motion tracking.",0,UVC-G6-PTZ-B-W
UVC-AI-PTZ-B/W,AI PTZ Industrial,Camera Security,PTZ,/images/camera.jpg,"Industrial-grade 4K PoE++ PTZ camera with enhanced AI capabilities, 22x optical zoom, and long-range adaptive IR LED night vision.",0,UVC-AI-PTZ-B-W
UVC-AI-PTZ-Precision-B/W,AI PTZ Precision,Camera Security,PTZ,/images/camera.jpg,"Industrial-grade 4K PTZ camera with enhanced AI capabilities, 31× optical zoom, adaptive IR LED night vision, and LiDAR technology for faster autofocus.",0,UVC-AI-PTZ-PRECISION-B-W
UVC-G5-PTZ-B/W,G5 PTZ ,Camera Security,PTZ,/images/camera.jpg,"Compact, all-weather camera with ultra-low latency pan-tilt-zoom control and versatile mounting options.",0,UVC-G5-PTZ-B-W
UVC-4-Doorbell-Pro-PoE-Kit-B/W,G4 Doorbell Pro PoE Kit,Camera Security,Doorbells,/images/camera.jpg,Premium UniFi doorbell with integrated PoE and included PoE chime for plug-and-play installation.,0,UVC-4-DOORBELL-PRO-POE-KIT-B-W
UVC-4-Doorbell-Pro-B/W,G4 Doorbell Pro,Camera Security,Doorbells,/images/camera.jpg,Premium UniFi doorbell with an enhanced package detection camera and integrated display.,0,UVC-4-DOORBELL-PRO-B-W
UVC-Doorbell-B/W,Doorbell Lite,Camera Security,Doorbells,/images/camera.jpg,Compact PoE video doorbell with two-way audio and versatile mounting options.,0,UVC-DOORBELL-B-W
UVC-Chime-PoE,PoE Smart Chime,Camera Security,Doorbells,/images/camera.jpg,"PoE plug-and-play notification device, designed to pair with a UniFi doorbell or door access hub.",0,UVC-CHIME-POE
UVC-Chime,WiFi Smart Chime,Camera Security,Doorbells,/images/camera.jpg,Plug-in chime designed to pair with a UniFi doorbell.,0,UVC-CHIME
USL-Gateway,SuperLink Gateway,Camera Security,SuperLink Sensors,/images/camera.jpg,"Proprietary super long-range, low-latency wireless gateway for UniFi Protect Sensors.",0,USL-GATEWAY
USL-Entry,Entry Sensor,Camera Security,SuperLink Sensors,/images/camera.jpg,SuperLink sensor with up to 6-year battery life for monitoring door and window open/closed status.,0,USL-ENTRY
USL-Motion,Motion Sensor,Camera Security,SuperLink Sensors,/images/camera.jpg,"SuperLink motion sensor designed for versatile installation, delivering up to 6 years of battery life.",0,USL-MOTION
USL-Siren,Siren,Camera Security,SuperLink Sensors,/images/camera.jpg,All-weather SuperLink siren delivering 110 dB alarm and emergency LED lighting powered using battery or DC input.,0,USL-SIREN
USL-Siren-PoE,Siren PoE,Camera Security,SuperLink Sensors,/images/camera.jpg,All-weather siren delivering 110 dB alarm and emergency LED lighting powered using PoE input.,0,USL-SIREN-POE
USL-Environmental,Environmental Sensor,Camera Security,SuperLink Sensors,/images/camera.jpg,"Battery-powered SuperLink sensor that detects water leaks, temperature, humidity, and ambient light.",0,USL-ENVIRONMENTAL
UP-Sense,All-In-One Sensor,Camera Security,SuperLink Sensors,/images/camera.jpg,"A battery-powered smart sensor capable of detecting motion, lighting, and environmental changes.",0,UP-SENSE
USL-GlassBreak,Glass Break Sensor,Camera Security,SuperLink Sensors,/images/camera.jpg,Battery-powered SuperLink sensor featuring advanced glass break detection and motion sensing.,0,USL-GLASSBREAK
UACC-USL-ANT-HG,SuperLink High-Gain Antenna,Camera Security,SuperLink Sensors,/images/camera.jpg,"High-gain, omnidirectional antenna with an IP67-rated outdoor enclosure, built to extend SuperLink range in all weather conditions.",0,UACC-USL-ANT-HG
UP-AI-Horn-Speaker-B/W,AI Horn Speaker,Camera Security,Camera Accessories,/images/camera.jpg,"All-weather PoE 120 dB horn speaker with advanced AI alert functionality and versatile wall, corner, and pole mounting options.",0,UP-AI-HORN-SPEAKER-B-W
UP-FloodLight,Floodlight,Camera Security,Camera Accessories,/images/camera.jpg,"Bright, motion-triggered light.",0,UP-FLOODLIGHT
UACC-Adapter-PoE-USBC,PoE to USB-C Adapter,Camera Security,Camera Accessories,/images/camera.jpg,"Versatile adapter that provides power and connectivity to USB-C devices, including compatible Protect WiFi cameras.",0,UACC-ADAPTER-POE-USBC
UACC-Camera-CJB-B/W,Camera Compact Junction Box,Camera Security,Camera Accessories,/images/camera.jpg,"Tamper-resistant junction box for compact UniFi Dome and Turret cameras that enhances mounting durability, aesthetics, and ease of maintenance.",0,UACC-CAMERA-CJB-B-W
UACC-Camera-CJB-B/W,Camera Compact Junction Box,Camera Security,Camera Accessories,/images/camera.jpg,"Tamper-resistant junction box for compact UniFi Dome and Turret cameras that enhances mounting durability, aesthetics, and ease of maintenance.",0,UACC-CAMERA-CJB-B-W
UACC-Camera-JB-B/W,Camera Junction Box,Camera Security,Camera Accessories,/images/camera.jpg,"Tamper-resistant junction box for UniFi Bullet, Dome, and Turret cameras that enhances mounting durability, aesthetics, and ease of maintenance.",0,UACC-CAMERA-JB-B-W
UACC-AI-JB-B/W,AI 360 Junction Box,Camera Security,Camera Accessories,/images/camera.jpg,Tamper-resistant junction box for the AI 360 that enhances mounting durability and ease of maintenance.,0,UACC-AI-JB-B-W
UACC-G4-Dome-Arm-Mount,Dome Camera Arm Mount,Camera Security,Camera Accessories,/images/camera.jpg,Arm mount accessory that attaches the G4 or G5 Dome camera to a wall.,0,UACC-G4-DOME-ARM-MOUNT
UACC-Camera-AM-B,Camera Arm Mount,Camera Security,Camera Accessories,/images/camera.jpg,"Arm mount accessory that attaches the UniFi Turret cameras to a wall, corner, or pole.",0,UACC-CAMERA-AM-B
UACC-Bullet-AB-B,Bullet Camera Angled Base,Camera Security,Camera Accessories,/images/camera.jpg,Bullet camera mounting accessory that enhances tilt angle by 22° to achieve an unrestricted viewing angle.,0,UACC-BULLET-AB-B
UACC-Pro-Bullet-Enhancer-B/W,Pro Bullect Enhancer,Camera Security,Camera Accessories,/images/camera.jpg,"Long-range IR LED, floodlight, and radar detection accessory for the G6 Pro Bullet and AI Pro.",0,UACC-PRO-BULLET-ENHANCER-B-W
UACC-AI-Pro-Enhancer-B/W,AI Enhancer,Camera Security,Camera Accessories,/images/camera.jpg,"Long-range IR LED, floodlight, and radar detection accessory for the AI Pro.",0,UACC-AI-PRO-ENHANCER-B-W
UACC-G5-Enhancer,G5 Pro Enhancer,Camera Security,Camera Accessories,/images/camera.jpg,Long-range IR LED and floodlight accessory for the G5 Pro.,0,UACC-G5-ENHANCER
UVC-G4-IRExtender,G4 Bullet IR Enhancer,Camera Security,Camera Accessories,/images/camera.jpg,Long-range IR LED accessory for the G4 Bullet.,0,UVC-G4-IREXTENDER
UACC-Camera-DM-B/W,Camera Dual Mount,Camera Security,Camera Accessories,/images/camera.jpg,"Tamper-resistant, back-to-back mount for two UniFi Bullet, Dome, or Turret cameras that supports flat surface installation and attachment to 1 1/2' NPS threaded conduit.",0,UACC-CAMERA-DM-B-W
UACC-GB-Plate-B/W,Gang Box Mounting Plate,Camera Security,Camera Accessories,/images/camera.jpg,A mounting plate designed to interface UniFi Protect cameras with multiple types of Gang Boxes and Junction Boxes.,0,UACC-GB-PLATE-B-W
UACC-Dome-FM-B/W,AI Dome Camera Flush Mount,Camera Security,Camera Accessories,/images/camera.jpg,Dome camera mounting accessory for recessed installation into a wall or ceiling.,0,UACC-DOME-FM-B-W
UACC-G6-Pro-360-FM-B/W,G6 Pro 360 Flush Mount,Camera Security,Camera Accessories,/images/camera.jpg,G6 Pro 360 camera mounting accessory for recessed installation into a wall or ceiling.,0,UACC-G6-PRO-360-FM-B-W
UACC-G6-Dome-FM-B/W,G6 Dome Camera Flush Mount,Camera Security,Camera Accessories,/images/camera.jpg,G6/G6 Pro Dome camera mounting accessory for recessed installation into a wall or ceiling.,0,UACC-G6-DOME-FM-B-W
UACC-G6-Dome-FMS-B/W,G6 Dome Camera Flush Mount,Camera Security,Camera Accessories,/images/camera.jpg,G6 Dome camera mounting accessory for recessed installation into a wall or ceiling.,0,UACC-G6-DOME-FMS-B-W
UACC-G5-Dome-Ultra-FM-B/W,G6 Dome Camera Flush Mount,Camera Security,Camera Accessories,/images/camera.jpg,Dome camera mounting accessory for recessed installation into a wall or ceiling.,0,UACC-G5-DOME-ULTRA-FM-B-W
UACC-G5-Dome-Ultra-FM-SB-B/W,G6 Dome Camera Flush Mount,Camera Security,Camera Accessories,/images/camera.jpg,Dome camera mounting accessory for recessed installation into a wall or ceiling with a smoked bubble for enhanced discretion.,0,UACC-G5-DOME-ULTRA-FM-SB-B-W
UACC-G6-Dome-WS-B/W,G6 Dome Camera Weather Shield,Camera Security,Camera Accessories,/images/camera.jpg,G6 Dome camera accessory for optimal image quality and protection from the elements when installed outdoors on a wall or pole.,0,UACC-G6-DOME-WS-B-W
UACC-Dome-WS-B/W,Dome Camera Weather Shield,Camera Security,Camera Accessories,/images/camera.jpg,Dome camera accessory for optimal image quality and protection from the elements when installed outdoors on a wall or pole.,0,UACC-DOME-WS-B-W
UACC-G6-180-FM-B/W,G6 180 Camera Flush Mount,Camera Security,Camera Accessories,/images/camera.jpg,G6 180 camera mounting accessory for recessed ceiling installation.,0,UACC-G6-180-FM-B-W
UACC-G6-180-PM-B/W,G6 180 Camera Pendant Mount,Camera Security,Camera Accessories,/images/camera.jpg,Pendant mount for suspending the G6 180 Camera from ceilings or overhead structures.,0,UACC-G6-180-PM-B-W
UACC-G5-PTZ-CM-B/W,G6/G5 PTZ Corner Mount,Camera Security,Camera Accessories,/images/camera.jpg,Corner mount accessory for G6/G5 PTZ.,0,UACC-G5-PTZ-CM-B-W
UACC-G5-PTZ-PM-B/W,G6/G5 PTZ Pendant Mount,Camera Security,Camera Accessories,/images/camera.jpg,Pendant mount accessory for G6/G5 PTZ.,0,UACC-G5-PTZ-PM-B-W
UACC-G5-PTZ-SM-B/W,G6/G5 PTZ Surface Mount,Camera Security,Camera Accessories,/images/camera.jpg,Ceiling surface mount accessory for G5 PTZ.,0,UACC-G5-PTZ-SM-B-W
UACC-G5-PTZ-ICM-SB-B/W,G5 PTZ In-Ceiling Mount,Camera Security,Camera Accessories,/images/camera.jpg,In-ceiling mount accessory or smoked bubble cover for G5 PTZ.,0,UACC-G5-PTZ-ICM-SB-B-W
UACC-G6-PTZ-ICM-B/W,G6 PTZ In-Ceiling Mount,Camera Security,Camera Accessories,/images/camera.jpg,In-ceiling mount accessory for G6 PTZ.,0,UACC-G6-PTZ-ICM-B-W
UACC-G5-PTZ-CA-B/W,G6/G5 PTZ Conduit Adapter,Camera Security,Camera Accessories,/images/camera.jpg,3/4' conduit adapter for wall-mounted G6/G5 PTZ installations.,0,UACC-G5-PTZ-CA-B-W
UACC-Flex-Cam-PWM-B/W,Flex Pro Mount,Camera Security,Camera Accessories,/images/camera.jpg,Versatile weatherproof wall or pole mount for G3 and G5 Flex cameras.,0,UACC-FLEX-CAM-PWM-B-W
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,G4 Doorbell Pro PoE Gang Box Mount,Camera Security,Camera Accessories,/images/camera.jpg,"Secure, flat or angled mounting plate for installing the G4 Doorbell Pro PoE over a standard single-gang box.",0,UACC-G4-DOORBELL-PRO-POE-GANG-BOX-WHITE-B-W
UACC-G4-DBP-Cable-USB-7M,G4 Doorbell Pro PoE to USB-C Cable,Camera Security,Camera Accessories,/images/camera.jpg,Sever-meter USB cable that connects a G4 Doorbell Pro to a PoE source.,0,UACC-G4-DBP-CABLE-USB-7M
UACC-G4-INS-Cable-USB-4.5M,Instant Camera PoE to USB-C Cable,Camera Security,Camera Accessories,/images/camera.jpg,Four-and-a-half-meter USB cable that connects a Camera G4/G6 Instant to a PoE source.,0,UACC-G4-INS-CABLE-USB-4-5M
UACC-G4-INS-Cover-DG/G/LG,G4 Instant Cover,Camera Security,Camera Accessories,/images/camera.jpg,Custom cover for the G4 Instant camera available in multiple colors.,0,UACC-G4-INS-COVER-DG-G-LG
UACC-AI-Theta-Audio-Cable-1M,AI Theta Audio Cable,Camera Security,Camera Accessories,/images/camera.jpg,"Replacement cable that connects AI Theta Audio to an AI Theta Hub, 1m (3.3 ft).",0,UACC-AI-THETA-AUDIO-CABLE-1M
UACC-AI-Theta-Audio-Cable-Ext-10M,AI Theta Audio Cable Extension Cable,Camera Security,Camera Accessories,/images/camera.jpg,Ten-meter audio cable to extend AI Theta Lenses.,0,UACC-AI-THETA-AUDIO-CABLE-EXT-10M
efg,Enterprise Fortress Gateway,Cloud Gateways,Enterprise Scale,/images/products/Product-Enterprise-Fortress-Gateway.png,"25G Cloud Gateway with 500+ UniFi device / 5,000+ client support, 12.5 Gbps IPS routing, and complete high availability.",1,EFG-999
udm-pro-max,Dream Machine Pro Max ,Cloud Gateways,Large Scale,/images/products/Product-Dream-Machine-Pro-Max.png,"10G CLoud Gateway with 200+ UniFi device / 2,000+ client support, 5 Gbps IPS routing, and redunant NVR storage.",1,UDM-PRO-MAX
udm-pro,Dream Machine Pro,Cloud Gateways,Large Scale,/images/products/Product-Dream-Machine-Pro.png,"10G Cloud Gateway with 100+ UniFi device / 1,000+ client support and 3.5 Gbps IPS routing.",0,UDM-PRO
udm-se,Dream Machine Special Edition,Cloud Gateways,Large Scale,/images/products/Product-Dream-Machine-Special-Edition.png,"10G Cloud Gateway with 100+ UniFi device / 1,000+ client support, 3.5 Gbps IPS routing, and built-in PoE switching.",0,EFG-200
ucg-fiber,Cloud Gateways Fiber,Cloud Gateways,Compact,/images/products/Product-UCG-Fiber.png,"Desktop 10G Cloud Gateway with integrated 4-port 2.5 GbE switch, selectable NVR storage, and full UniFi application support.",0,UCG-FIBER
ucg-max,Cloud Gateways Max,Cloud Gateways,Compact,/images/products/Product-UCG-Max.png,"Compact 2.5G Cloud Gateway with 30+ UniFi device / 300+ client support, 2.3 Gbps IPS routing, and selectable NVR storage.",0,UCG-MAX
ucg-ultra,Cloud Gateways Ultra,Cloud Gateways,Compact,/images/products/Product-UCG-Ultra.png,"Compact CLoud Gateway with 30+ UniFi device / 300+ client support, 1 Gbps IPS routing, and multi-WAN load balancing",0,UCG-ULTRA
udr-7,Dream Router 7,Cloud Gateways,WiFi Integrated,/images/products/Product-UDR-7.png,"Desktop 10G Cloud Gateway with integrated WiFi 7, PoE switch, microSD storage, and full UniFi application support",0,UDR-7
ux-7,UniFi Express 7,Cloud Gateways,WiFi Integrated,/images/products/Product-UX-7.png,"Mesh-scalable, super-compact 10G Cloud Gateway with integrated WiFI 7.",0,UX-7
udr-5g-max,Dream Router 5G Max,Cloud Gateways,WiFi Integrated,/images/products/Product-UDR-5G-Max.png,"Desktop Cloud Gateway with full-performance 5G up to 3.4 Gbps, WiFi 7, 10G SFP+, 4-port 2.5 GbE switch with (1) PoE port, and SD card storage.",0,UDR-5G-MAX
UDW,Dream Wall,Cloud Gateways,WiFi Integrated,/images/products/Product-UDW.png,"Wall-mounted 10G Cloud Gateway with integrated WiFi 6, high-power PoE switching, and full Unifi application support.",0,UDW
UVC-G6-Pro-Entry,G6 Pro Entry,Door Access,Readers,/images/camera.jpg,"An intelligent door entry system with native UniFi Protect and UniFi Access integration with a 12MP camera, two-way audio, and a 3' touch display.",0,UVC-G6-PRO-ENTRY
UVC-G6-Entry,G6 Entry,Door Access,Readers,/images/camera.jpg,An intelligent door entry system with native UniFi Protect and UniFi Access integration.,0,UVC-G6-ENTRY
UA-G3-Pro-B/W,G3 Reader Pro,Door Access,Readers,/images/camera.jpg,"Third-generation, indoor/outdoor NFC reader and intercom with Touch Pass support.",0,UA-G3-PRO-B-W
UA-G2-Pro-B/W,G2 Reader Pro,Door Access,Readers,/images/camera.jpg,"Second generation, indoor/outdoor NFC reader and intercom.",0,UA-G2-PRO-B-W
UA-G3-Flex-B/W,Reader Flex,Door Access,Readers,/images/camera.jpg,Third-generation NFC card reader with a keypad and Touch Pass support.,0,UA-G3-FLEX-B-W
UA-G3-B/W,G3 Reader,Door Access,Readers,/images/camera.jpg,Compact third-generation access with Tpuch Pass support.,0,UA-G3-B-W
UA-G2-B/W,G2 Reader,Door Access,Readers,/images/camera.jpg,Compact second-generation access reader.,0,UA-G2-B-W
UA-Retrofit-Reader-B/W,Retrofit Reader,Door Access,Readers,/images/camera.jpg,"Indoor/outdoor OSDP reader with NFC Card and Touch Pass support, compatible with the UniFi Retrofit Hub using existing cabling.",0,UA-RETROFIT-READER-B-W
UA-G3-Intercom,G3 Intercom,Door Access,Readers,/images/camera.jpg,Indoor/outdoor intercom terminal for managing residential and commercial building entry requests with Touch Pass support.,0,UA-G3-INTERCOM
UA-G2-Intercom,G2 Intercom,Door Access,Readers,/images/camera.jpg,Indoor/outdoor intercom terminal for managing residential and commercial building entry requests.,0,UA-G2-INTERCOM
UA-Ultra,Access Ultra,Door Access,Readers,/images/camera.jpg,"An access reader with a built-in hub for complete, single-door entry control from one device.",0,UA-ULTRA
UA-G3-Intercom,G3 Intercom,Door Access,Readers,/images/camera.jpg,Indoor/outdoor intercom terminal for managing residential and commercial building entry requests with Touch Pass support.,0,UA-G3-INTERCOM
UA-G2-Intercom,G2 Intercom,Door Access,Readers,/images/camera.jpg,Indoor/outdoor intercom terminal for managing residential and commercial building entry requests.,0,UA-G2-INTERCOM
UA-G2-Intercom,G2 Intercom,Door Access,Readers,/images/camera.jpg,Indoor/outdoor intercom terminal for managing residential and commercial building entry requests.,0,UA-G2-INTERCOM
UVC-G6-Pro-Entry,G6 Pro Entry,Door Access,Readers,/images/camera.jpg,"An intelligent door entry system with native UniFi Protect and UniFi Access integration with a 12MP camera, two-way audio, and a 3' touch display.",0,UVC-G6-PRO-ENTRY
UVC-G6-Entry,G6 Entry,Door Access,Readers,/images/camera.jpg,An intelligent door entry system with native UniFi Protect and UniFi Access integration.,0,UVC-G6-ENTRY
EAH-8,Enterprise Access Hub,Door Access,Hubs,/images/camera.jpg,Enterprise-grade access hub with entry and exit control up to eight doors and battery backup support.,0,EAH-8
UA-Retrofit-Hub-2,Enterprise Access Hub,Door Access,Hubs,/images/camera.jpg,DC-powered hub that supports Wiegand and OSDP readers and provides entry and exit control for up to two doors.,0,UA-RETROFIT-HUB-2
UA-Hub-Door,Door Hub,Door Access,Hubs,/images/camera.jpg,A single-door mechanism that provides complete entry and exit control via connected Access Readers.,0,UA-HUB-DOOR
UA-Hub-Door-Mini,Door Hub Mini,Door Access,Hubs,/images/camera.jpg,Compact Access Control Hub for a single door.,0,UA-HUB-DOOR-MINI
UA-Hub-Gate,Gate Hub,Door Access,Hubs,/images/camera.jpg,An advanced Gate Hub enabling seamless gate access control via connected Access readers or Intercom.,0,UA-HUB-GATE
UA-Ultra,Access Ultra,Door Access,Hubs,/images/camera.jpg,"An access reader with a built-in hub for complete, single-door entry control from one device.",0,UA-ULTRA
